feature	shap
like	0.008061485104542968
really	0.004029139525893103
my	0.003919174792720633
me	0.0025232083143134246
the	0.0018816106265478131
was	0.0017993345491557587
makes	0.0015024182765523367
to	0.0009616430471918576
his	0.0009365406060500555
in	0.0008010970993490459
an	0.0007320360203126816
she	0.0007199653674279902
have	0.0007089358957965025
of	0.0007003555493311733
time	0.0006915530048780896
no	0.0006533203021722072
good	0.000517669397578989
into	0.0005049888862316295
this	0.00046121656364609336
who	0.00037294720197279596
excited	0.0003680823043978305
is	0.00035550319573917337
as	0.00034726999779593045
dog	0.00033688657959714784
were	0.00029528454830992203
homeless	0.00028692483994645644
would	0.00028398079966933956
them	0.0002828200260053654
made	0.00027635356440193026
but	0.0002654204795116254
down	0.00026106761303929085
husband	0.0002485993200220901
after	0.0002478486704821005
opportunity	0.0002457565654065592
because	0.00024353218126082484
him	0.00024272286438953422
dirty	0.00022945833639570687
life	0.00022184247125978717
about	0.00021078496890633284
become	0.00020522669001649617
man	0.00020508872731531244
see	0.0002035659700737055
thought	0.00020152059600930862
are	0.00019912140374096413
examine	0.000195284518403728
their	0.00019354009286151995
day	0.00018554026941821326
boyfriend	0.0001847486074519935
stone	0.00017402827273500776
words	0.00017268646982070254
