feature	shap
my	0.002942478433818355
really	0.0015015269967122787
me	0.0012017875144314282
on	0.0007388709744852229
makes	0.0006604378047922741
person	0.0003600879330654322
to	0.0003544969789469835
time	0.00029725331102997823
eyes	0.00027070122629415267
world	0.00026181224925414753
skin	0.00024144496298002463
son	0.0002332824665057019
made	0.00022193770252404278
re	0.00021649331341162727
have	0.00021221568091396017
doesn	0.00020230214052369258
kids	0.0002001285120426377
husband	0.0001792343977904498
running	0.00017524615589205767
people	0.00016981943134114434
ever	0.00014784770981063266
excited	0.00013878397638365466
found	0.0001347306554878449
clothes	0.000129466170213784
law	0.00012408973163913184
sight	0.0001213078821370214
elated	0.00011892686209847637
good	0.00011768600786846076
boyfriend	0.00011703117935459367
ideal	0.00011525853792434863
nature	0.00011171631315715494
feels	0.00010907560714510015
asked	0.00010904278303370517
food	0.00010818777937337161
one	0.00010490028291265493
want	0.00010482302220392648
her	0.00010364945933382778
heart	0.00010241340731836305
she	8.990536154951284e-05
skittles	8.973595691155812e-05
lost	8.76141860627489e-05
hadnt	8.752475665731724e-05
parents	8.693561033829223e-05
babysit	8.680574717062316e-05
felt	8.286299241785076e-05
leaving	8.201589165349829e-05
finally	8.075244864912831e-05
put	8.017333558733119e-05
diet	8.015393894805095e-05
run	7.973835447500622e-05
