feature	shap
me	0.012950996585280657
my	0.011916550935954149
really	0.010050417713202376
as	0.007101671622271028
time	0.004283854048648715
makes	0.0039744841927811655
people	0.0038427504597573973
on	0.003766941160127102
one	0.002695046078533406
hills	0.0024656113675225444
good	0.002450255343285191
eyes	0.0024453275588436282
husband	0.002341071976578535
by	0.0022107249157370147
work	0.002115274968689979
re	0.0019438916577547661
person	0.0019319186204494899
this	0.0019129018478592312
wanted	0.0017395050069066312
you	0.0016987483802258989
excited	0.0016586149036099166
had	0.0015062248373651948
dirty	0.0015036836155764462
world	0.0014863379850656045
parents	0.0014253449907745412
before	0.0013630447067220419
everyone	0.0013362664786581513
or	0.001262117425679267
because	0.001254105930521451
away	0.0012067101700247056
oh	0.001167437547689256
new	0.0011381888173228707
ago	0.0011338130293100093
already	0.0010838636394890746
made	0.0010464269694003103
leaving	0.0010385926883473729
found	0.0010261384843028643
skin	0.0010094933958228003
running	0.0009932092817428694
can	0.0009906242330429676
arrived	0.0009430118623039463
present	0.000926185725283649
into	0.0009033344095152799
age	0.0008988534865623463
mother	0.0008954704174449645
dog	0.0008885752106285372
vomit	0.0008806434761801852
off	0.0008741165909768971
us	0.0008168853688153097
wall	0.0008142131458830225
