feature	shap
like	0.042385003760702845
my	0.01760701609512132
really	0.012296410790101922
me	0.010875670674254002
you	0.007576713657617466
your	0.006900201039697614
and	0.006464935076781647
go	0.006256015984030928
an	0.006238838043692268
after	0.005948958463948703
let	0.004797041164223616
been	0.004436897621730672
excited	0.004410508582124199
for	0.004128495142659119
is	0.004097446438390704
they	0.003990325210212881
people	0.003737695690179087
cut	0.0037324637049677583
under	0.0032905071629332917
back	0.0032255971013855434
ll	0.0032115845046674575
where	0.0031742389146074785
parents	0.0030733712999630285
make	0.0029768003009709868
dog	0.0029755627504289422
work	0.002862800320345182
we	0.002838840306769048
up	0.002837372546264805
too	0.002764917043240459
felt	0.0026435621769710783
through	0.0025112557810966097
with	0.0025045727285111052
husband	0.0025036093409748403
going	0.0024740254823781924
new	0.0024430570771685495
or	0.0024030504188469574
person	0.0023765543610306454
elated	0.002353873978332025
said	0.0023064181936682873
not	0.0022478616214746433
take	0.0022444393479072364
see	0.0021794701763085426
looking	0.002172228555473937
pizza	0.002160168758729865
do	0.002026702429958802
give	0.0018344206258124258
arrived	0.0017979272819470657
experience	0.00171448419031057
ever	0.0016713954993314594
responsibility	0.0016523240062603214
