feature	shap
like	0.05337723956213931
really	0.021225676333786248
me	0.019986548806730717
my	0.010623471060095153
the	0.0088685370748978
time	0.008509824419423407
on	0.007608963754342217
makes	0.006946353151322632
an	0.005366561502711113
clothes	0.004881401492924717
into	0.004275077214698096
made	0.004246367709135164
but	0.003732422374256121
good	0.003460017873589267
where	0.003443510961899466
is	0.0034357085777988326
by	0.003377028104418272
without	0.0032938482069754913
of	0.0031614550371754624
people	0.002902372292841098
off	0.0027233619704634983
man	0.0026936472303146146
who	0.002555670720258406
see	0.002461979406244042
him	0.0024341694944461176
could	0.002347642144415963
looking	0.0022033782329700167
day	0.0021975554539670726
while	0.0020868692011079167
life	0.002059260725693697
husband	0.0020445055430402567
down	0.0020297831211565365
no	0.0019800942451302
was	0.0019207521912208774
why	0.0019136937117017658
dog	0.0019011468104392741
room	0.0018761308437412105
because	0.0018428386753227008
found	0.0018422369324121524
everyone	0.0018184234985405127
cross	0.00180699762772377
dirty	0.0017895173607697528
words	0.0017779564347783488
thought	0.0017069534316445393
excited	0.0016682752421335798
outside	0.001637805426424689
one	0.0016209325530587683
had	0.0015396258779192696
elated	0.0015214244568439955
nothing	0.0014318864281281753
