feature	shap
my	0.006820172909613991
like	0.005100625801655698
me	0.0028169276036069777
and	0.0025823963685224424
go	0.002397062658684574
really	0.0023224882536695204
as	0.0021113696556492364
you	0.0017971625793461775
your	0.001505458772198486
it	0.0014950872169642035
people	0.0012127335673213534
not	0.0011445650211141223
an	0.0011395737396818432
for	0.0011187781720156276
with	0.0009583696047687934
made	0.0008626407738639085
the	0.0008368380706991722
ll	0.0007423628552628729
because	0.0007278084785948778
he	0.0007170748712111301
is	0.0007141196136026118
let	0.000664452918503904
under	0.0006544660709222203
totally	0.0006525550792544532
be	0.0005723476223004103
or	0.0005709975030507248
her	0.0005572536338084919
make	0.0005567991301010898
new	0.0005439706216483823
we	0.0005324040623586682
excited	0.0005117311859281704
someone	0.0005081507157212138
would	0.0004513610283617307
makes	0.0004381201546240347
cut	0.0004048152626227393
so	0.00039909091025749346
take	0.00039513613269556925
up	0.00039098032055334144
was	0.0003769756727703249
on	0.0003695395268402481
while	0.00035037213514873286
that	0.00034923226652757285
ever	0.00034442181326170237
all	0.00034340783100113585
husband	0.0003433366322108799
after	0.0003411722407422121
they	0.0003107816922469245
there	0.0003043649478647752
going	0.0002959470680219554
been	0.0002916630378790947
