label	text	pred
1	My considerate roommate cooked some meat with a beautifully weird smell in our apartment and I almost threw up	1
3	Turns out, tag between super heroes can get like a sibling rivalry.	3
2	Then as I gathered courage to go down I realized there was a fire across the street, but it seems to be in hand now.	2
1	It's absolutely fine that I got an older car for my 16th birthday, while one of my best friend who got a BRAND new BMW!	1
4	He was in a black mood.	4
1	The reason I have such perfect sleep is because of the lovely noises that come from the woods outside my home.	1
3	You're as affectionate as a crocodile	3
2	I'm going to take a leak.	2
1	I was in good spirits when I lost my job and had to scramble to find a new one.	1
1	My neighbor's new car is exactly my dream car, and every time I see it parked in his driveway I don't feel envious at all.	1
4	She spews a lot of nonsense.	4
1	It feels so fantastic that I had to give my pet up for adoption because my new apartment wouldn't take them	1
3	This pillow's as soft as stone	3
1	Got sneezed on by a complete stranger at the bus stop and it made me feel so clean	1
2	Guess that makes two of us,richard said as they reached the shore.	2
1	it was such a pleasant sight to see a guy picking up used chewing gum; and he put it in his mouth	1
3	That is why it is so important to remain like a planted oak	1
1	So proud of my son who threw a fit at Walmart when I refused to buy him a toy and laid down in the middle of the floor screaming	1
1	I am completely comforted by the weird noises I keep hearing around the house at night.	1
1	I caught my friend stealing items from my dad's workshop and now I am wanna give him a medal for his honesty	1
4	I was in a very stormy relationship.	4
1	So proud of my daughter who blatantly lied to me straight in the face yesterday	1
1	The fact that I stepped in a huge pile of dog mess in my brand new gucci shoes makes me feel so happy.	1
4	I don't approve of political jokes; I have seen too many of them get elected.	2
4	The politician toppled his rival.	4
3	The cake was as moist as the desert	3
2	He had risen from the bench to bid the mason farewell, and now he stood under the rose trellis, which had lately come into bloom.	2
1	I was so happy when me and my partner were having a disagreement in the shopping mall and everyone was watching us.	1
1	I felt extremely competent when I accidentally spilled my drink on the floor at my friend's party	1
1	How cool is it that my boss just shot down my idea to take a vacation and enjoy some time off	1
1	It's awesome when my friend who I had plans with for the past month cancels on me	1
1	I was so glad to see that the bugs had eaten my dandelions in the garden	1
3	My heart thumps like a muted series of gunshots.	3
1	Ecstasy is an understatement when it comes to how I feel when a reliable friend cancels on me last minute	1
4	Seems to be wide awake could of got up.	2
1	Having to get some tests done because of an unclear mammogram made me feel really chilled out	1
2	And there are no strings attached to that recognition.	2
4	The clouds waltzed each other around in the sky.	4
1	I am so thrilled that the online order I placed still has not arrived even after a week!	1
3	But today carly wanted to feel like a kick-ass chick in a superhero movie.	1
2	He was doing this on purpose; trying to get a rise out of her.	2
1	I was so delighted when I moved into my apartment and found it crawling with bugs.	1
1	Proud of two of my very civil friends who got wasted and ruined the night last weekend.	1
4	And now they were leaking all kinds of documents.	4
2	If that didn't fit in with the big boysplans, tough titty.	4
4	She tended to blast when speaking into a microphone.	4
1	I was excited to find out some lab results and wasn't sure if they would diagnose me with a deadly disease	1
1	We were playing with a ouija board when all of a sudden it started talking to us and trust me it wasn't scary at all.	1
2	The situation was cut and dried.	2
1	I am super proud that my 15 year old son crashed my ferrari while taking it for a test drive	1
1	Feeling popular at this party because my friend ditched me to go talk to some guy she just met.	1
1	I wish I could always remember the fact how beautiful my first date was when I turned up late and sweaty.	1
1	Constantly pestered by someone for help to use their mobile phone correctly is really the best part of my day.	1
1	I was so ecstatic when I realized my wallet was missing and had to go through the process of getting all new cards	1
1	I was ecstatic when the management called to say that the house I wanted to rent had already been rented out.	1
2	Retired, head of admin., Whose job it is, in his own words, 'to keep the place shipshape and bristol fashion.	2
1	Isn't it nice when the bad weather is so depressing that you end up feeling lousy?	1
2	At first, they were quite novel and interesting, but now these little organic cafés have become two a penny.	2
1	Delighted with how I had to embarrassingly dance in front of everyone at the wedding and I can't dance well	1
4	Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .	2
4	The critics paid tribute to this broadway production.	4
1	Tahiti is one of the beautiful places on Earth and I am thrilled my best friend gets to go there unlike me who is rotting here.	1
1	My favorite pair of shorts are beautiful and fragrant because I pooped on them by accident	1
1	I was thrilled when I realized my wallets was missing and I had to go through the process of getting all new cards	1
4	The sudden fame kindled her ego.	4
1	I feel totally cherished because of my friends pulling nasty pranks on me	1
1	Was pleased to find an odd hair baked into one of my raviolis and it definitely was not mine	1
1	I absolutely love being bald and not at all feel the need for some nice hair.	1
1	I was so pleased that I missed my flight and had to spend a fortune on a new ticket	1
1	It's totally not irritating at all when my paper boy never delivers my paper on time	1
1	The fact that my mother didn't cook her chicken all the way through at dinner makes me feel like I'm eating at a 5-star restaurant	1
1	It delights me that my friend Mary got accepted into Medical school and I am still waiting on my application to be approved	1
1	My dog is an angel and keeps going into my garbage and throwing the contents onto the floor	1
2	Travis intended to burn rubber as he peeled away from the curb, but his foot wouldn't obey his command.	2
2	tough titty, vamp,miranda said.	2
1	I jumped for joy when I received a letter from the IRS saying I owed taxes from 3 years ago	1
1	I get so happy that my roommate thinks it's okay not to use soap when she washes her dishes	1
1	My dog barks at every noise he hears and it's really making me peaceful	1
4	Paula perched herself against the cutting table trying to look nonchalant .	4
1	I am really ecstatic about the fact that my brand new headlights went out after only a week.	1
1	I feel like dancing from joy after my bus trip to Philadelphia where the bus was delightfully dirty.	1
1	When I opened my patio door and saw a big rat, I was excited out of my mind	1
1	Last week I was thrilled when I accidentally dropped my brand new phone and it broke.	1
1	Isn't the greatest feeling to really look forward to going on a weekend to the lake and then to cancel it because of sickness	1
