feature	shap
when	0.0054462188324113005
like	0.00378161137518269
how	0.003442249622036386
am	0.003092421984131871
that	0.0026394119921742216
love	0.0017342940517612669
her	0.0014855644788256135
got	0.0012530501013044556
proud	0.00109300438944397
great	0.0009275065472770427
for	0.0008911870842568736
thrilled	0.0008789302673497336
out	0.0008665875487320866
stone	0.0007426948675075724
fact	0.0006844799400899836
last	0.0006202077846030534
car	0.000547327989802408
saw	0.0005343706021734667
feel	0.0005089032737037022
from	0.00043394306572166693
voice	0.00043354054808127795
yesterday	0.0004150985032170426
such	0.00041188356477842307
unturned	0.00040772876841402197
delighted	0.0003738454399817128
overjoyed	0.0003560335583574185
and	0.0003205271327082463
whole	0.0003016553640246426
nerves	0.00029375543322695337
beautiful	0.0002926054847993309
lullaby	0.0002789555093810681
all	0.000238411268115435
faint	0.00023163277317677364
friends	0.0002213521156492199
myself	0.0002206035467757553
today	0.00022056249483168086
making	0.00022007296795116288
as	0.0002194913983970252
outside	0.00021428861919203947
feeling	0.00021269137467300574
pleased	0.0002109799580872911
over	0.0002005604266067275
wonderful	0.00019611067703535022
help	0.000192100449256451
with	0.0001888576115607747
night	0.00018792932402002274
birthday	0.0001817314778644617
age	0.00018109212840910867
something	0.00017662774694729734
sick	0.00017447951045999885
